,fit_Kmax,fit_Ku,fit_Vhalf,error,ref_Kmax,ref_Ku,ref_Vhalf
0,99.2470733217821,9.544430734831234,-92.83556621592298,0.016006121330899115,100.0,1.0,-100.5
0,100.44313662242243,9.97201969234329,-54.45010391260633,0.015946563261415917,100.0,1.0,-50.75
0,100.6872629808183,0.06691542277474691,-1.4188853905381096,0.01597650551960611,100.0,1.0,-1.0
0,9999.710887456635,1.803409454568591e-05,-163.29111834455148,0.0160068400684333,10000.0,1.8000000000000017e-05,-200.0
0,9955.801205659305,1.806121937462099e-05,-110.75083078388948,0.015940367696240194,10000.0,1.8000000000000017e-05,-150.25
0,10057.610313226907,1.7887218449004813e-05,-114.10606950289609,0.015944738220868164,10000.0,1.8000000000000017e-05,-100.5
0,9992.959609601778,1.7992532361076324e-05,-52.508964574824525,0.01593791358414564,10000.0,1.8000000000000017e-05,-50.75
0,10086.899990406544,1.781647473121447e-05,-1.307413212542708,0.015960557928206325,10000.0,1.8000000000000017e-05,-1.0
0,10031.214656682274,0.0002762361529838841,-137.43301080012307,0.015921586591574208,10000.0,0.0002763467610958146,-200.0
0,9958.679815570056,0.0002770830038825697,-103.57997964345067,0.016024702032462118,10000.0,0.0002763467610958146,-150.25
0,10014.004134657178,0.0002751105894829009,-101.82278869248601,0.016007916297172024,10000.0,0.0002763467610958146,-100.5
0,9958.41492681065,0.0002776835597528489,-45.18794027891695,0.016022902210178082,10000.0,0.0002763467610958146,-50.75
0,10008.01275649504,0.00027801971415662404,-1.025797943443465,0.016057212394722555,10000.0,0.0002763467610958146,-1.0
0,9963.954432561315,0.004371700346944808,-101.05404851603873,0.01603517321472602,10000.0,0.0042426406871192875,-200.0
0,10000.172188877274,0.004130697996688018,-149.56582494781495,0.016004774644859922,10000.0,0.0042426406871192875,-150.25
0,9987.014501004505,0.004411799387349045,-100.2619377712603,0.015979438588924245,10000.0,0.0042426406871192875,-100.5
0,9965.591909532339,0.004153456844235357,-48.33017859412405,0.015933241998950347,10000.0,0.0042426406871192875,-50.75
0,9995.067182521565,0.004334791072502999,-0.9341506879613619,0.0160486101075027,10000.0,0.0042426406871192875,-1.0
0,10009.65900213644,0.07232687346977196,-160.81195153595263,0.016062480057309543,10000.0,0.06513555624326307,-200.0
0,9966.063304899195,0.036401158712243226,-103.93348661164906,0.01600247498804206,10000.0,0.06513555624326307,-150.25
0,9953.187467398036,0.039682380192785964,-95.49271667235766,0.01600973631066488,10000.0,0.06513555624326307,-100.5
0,10030.407418849261,0.07891751065692246,-48.35456925356049,0.015935162415296217,10000.0,0.06513555624326307,-50.75
0,10038.686221066904,0.11640952611537042,-1.2338766002973274,0.015998402043516522,10000.0,0.06513555624326307,-1.0
0,9984.549267073375,9.664736493687046,-144.50973313985074,0.015976237022550452,10000.0,1.0,-200.0
0,9993.203238183714,0.09204279053399804,-101.07534187718893,0.015937090986940065,10000.0,1.0,-150.25
0,10040.103047660055,0.04975292136207897,-103.91054514321152,0.01593196566959801,10000.0,1.0,-100.5
0,10067.333443552641,9.968847403390965,-56.09493851067716,0.016006236177082515,10000.0,1.0,-50.75
0,10054.981456777521,0.0700762117254208,-1.2970904368815575,0.016005080270578776,10000.0,1.0,-1.0
0,989519.1422572639,1.8258835351684367e-05,-98.1430199002446,0.01592147185022641,1000000.0,1.8000000000000017e-05,-200.0
0,999965.0019310958,1.7984643542355486e-05,-111.25776086147617,0.015929673680778494,1000000.0,1.8000000000000017e-05,-150.25
0,992185.7742990374,1.8193587804887802e-05,-95.1975000180885,0.015929768505632352,1000000.0,1.8000000000000017e-05,-100.5
0,1001553.5881154836,1.7959177785419343e-05,-50.0039197275784,0.01592979620093179,1000000.0,1.8000000000000017e-05,-50.75
0,1003914.6504820617,1.7930867473289425e-05,-1.06075690857751,0.015935228498880884,1000000.0,1.8000000000000017e-05,-1.0
0,1001588.2552474338,0.00027400012889437287,-115.83560231224418,0.01594082072616992,1000000.0,0.0002763467610958146,-200.0
